property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 82,0.88,2,2,2,relatively new,1004.0,0,0,semifurnished,luxury,high-rise
flat,sector 105,0.45,3,2,1,relatively new,1056.0,0,0,semifurnished,budget,low-rise
flat,sector 85,2.6,3,3,3,under construction,2129.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 89,0.97,2,2,2,new,1371.0,0,0,unfurnished,budget,low-rise
flat,sector 82,1.59,3,3,3+,relatively new,1662.0,0,0,furnished,luxury,medium-rise
flat,sector 56,2.0,4,4,3,relatively new,2243.0,0,0,semifurnished,budget,medium-rise
flat,sector 65,2.85,3,3,3,under construction,1828.09,0,0,semifurnished,semi-luxury,high-rise
flat,sector 67,4.5,4,4,3+,relatively new,2867.0,1,0,semifurnished,luxury,high-rise
flat,sector 103,1.12,3,4,3+,new,1727.0,1,0,unfurnished,budget,medium-rise
flat,sector 66,1.85,2,3,3,relatively new,1470.0,1,0,semifurnished,semi-luxury,high-rise
house,sector 7,1.75,4,2,2,old,1575.0,0,0,unfurnished,budget,low-rise
flat,sector 113,3.35,3,4,3+,new,2200.0,1,0,unfurnished,luxury,high-rise
flat,sector 79,0.72,2,2,3+,new,1275.0,0,0,unfurnished,budget,high-rise
flat,sector 47,1.2,2,2,3+,under construction,1111.0,0,0,unfurnished,semi-luxury,low-rise
house,sector 47,1.35,2,2,2,new,1210.0,0,0,furnished,semi-luxury,medium-rise
flat,sector 2,1.28,3,3,3,relatively new,1489.0,0,0,semifurnished,budget,low-rise
flat,sector 99,0.32,2,2,1,new,574.0,0,0,unfurnished,budget,low-rise
flat,sector 95,0.32,2,2,1,relatively new,610.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 56,1.45,3,3,3+,old,1900.0,1,0,unfurnished,luxury,medium-rise
flat,sector 76,0.5,2,2,1,under construction,844.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 109,6.1,5,6,3+,relatively old,2430.0,1,0,unfurnished,budget,low-rise
flat,sector 90,1.78,4,4,3+,relatively new,2000.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 48,1.8,3,4,3,relatively old,1951.0,0,0,semifurnished,semi-luxury,low-rise
flat,sector 66,1.32,2,2,2,relatively new,1053.0,0,0,unfurnished,semi-luxury,medium-rise
